"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"TME","TME","cxcl12a","cxcr4b",0.00790257247882364,0,"CXCL12_CXCR4_4","cxcl12a - cxcr4b","CXCL","Secreted Signaling","KEGG: mmu04060"
"TME","invasive","cxcl12a","ackr3b",0.00995134326442893,0,"CXCL12_ACKR3_3","cxcl12a - ackr3b","CXCL","Secreted Signaling","KEGG: mmu04060"
"TME","invasive","mif","ackr3b",0.0148531106951076,0,"MIF_ACKR3_1","mif - ackr3b","MIF","Secreted Signaling","PMID: 26175090"
"melanocytic","invasive","mif","ackr3b",0.0300755088063043,0,"MIF_ACKR3_1","mif - ackr3b","MIF","Secreted Signaling","PMID: 26175090"
"invasive","invasive","mif","ackr3b",0.0176980251145695,0,"MIF_ACKR3_1","mif - ackr3b","MIF","Secreted Signaling","PMID: 26175090"
"stressed","invasive","mif","ackr3b",0.0176980251145695,0,"MIF_ACKR3_1","mif - ackr3b","MIF","Secreted Signaling","PMID: 26175090"
"proliferative","invasive","mif","ackr3b",0.0382188117710717,0,"MIF_ACKR3_1","mif - ackr3b","MIF","Secreted Signaling","PMID: 26175090"
"inflammatory","invasive","mif","ackr3b",0.0176980251145695,0,"MIF_ACKR3_1","mif - ackr3b","MIF","Secreted Signaling","PMID: 26175090"
"invasive","inflammatory","angptl4","cdh11",0.00323728706560484,0,"ANGPTL4_CDH11","angptl4 - cdh11","ANGPTL","Secreted Signaling","PMID: 30049845"
"invasive","melanocytic","angptl4","sdc2",0.00125484437175454,0,"ANGPTL4_SDC2","angptl4 - sdc2","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","proliferative","angptl4","sdc2",0.00125484437175454,0,"ANGPTL4_SDC2","angptl4 - sdc2","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","inflammatory","angptl4","sdc2",0.00448402506986804,0,"ANGPTL4_SDC2","angptl4 - sdc2","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","TME","angptl4","sdc4",0.0139830937484739,0,"ANGPTL4_SDC4","angptl4 - sdc4","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","melanocytic","angptl4","sdc4",0.011670959029413,0,"ANGPTL4_SDC4","angptl4 - sdc4","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","invasive","angptl4","sdc4",0.0138762437438142,0,"ANGPTL4_SDC4","angptl4 - sdc4","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","stressed","angptl4","sdc4",0.0137228469946366,0,"ANGPTL4_SDC4","angptl4 - sdc4","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","proliferative","angptl4","sdc4",0.0121078485965199,0,"ANGPTL4_SDC4","angptl4 - sdc4","ANGPTL","Secreted Signaling","PMID: 29017031"
"invasive","inflammatory","angptl4","sdc4",0.0131789426332343,0,"ANGPTL4_SDC4","angptl4 - sdc4","ANGPTL","Secreted Signaling","PMID: 29017031"
"melanocytic","melanocytic","mdkb","sdc2",0.0074540005320803,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"proliferative","melanocytic","mdkb","sdc2",0.00125484437175454,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"inflammatory","melanocytic","mdkb","sdc2",0.0019874224320675,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","proliferative","mdkb","sdc2",0.0074540005320803,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"proliferative","proliferative","mdkb","sdc2",0.00125484437175454,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"inflammatory","proliferative","mdkb","sdc2",0.0019874224320675,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","inflammatory","mdkb","sdc2",0.0262171521247532,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"proliferative","inflammatory","mdkb","sdc2",0.00448402506986804,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"inflammatory","inflammatory","mdkb","sdc2",0.00708841876118869,0,"MDK_SDC2_1","mdkb - sdc2","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","melanocytic","mdka","sdc2",0.0054008337545137,0.04,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"invasive","melanocytic","mdka","sdc2",0.00790257247882364,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"stressed","melanocytic","mdka","sdc2",0.0111393173416244,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","proliferative","mdka","sdc2",0.0054008337545137,0.04,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"invasive","proliferative","mdka","sdc2",0.00790257247882364,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"stressed","proliferative","mdka","sdc2",0.0111393173416244,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","inflammatory","mdka","sdc2",0.0190951993076933,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"invasive","inflammatory","mdka","sdc2",0.0277632817432125,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"stressed","inflammatory","mdka","sdc2",0.0388163297008951,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"proliferative","inflammatory","mdka","sdc2",0.0190951993076933,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"inflammatory","inflammatory","mdka","sdc2",0.00708841876118869,0,"MDK_SDC2_2","mdka - sdc2","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","TME","mdkb","sdc4",0.0781423332547396,0,"MDK_SDC4_1","mdkb - sdc4","MK","Secreted Signaling","PMID: 28356350"
"proliferative","TME","mdkb","sdc4",0.0139830937484739,0,"MDK_SDC4_1","mdkb - sdc4","MK","Secreted Signaling","PMID: 28356350"
"inflammatory","TME","mdkb","sdc4",0.0219828684833918,0,"MDK_SDC4_1","mdkb - sdc4","MK","Secreted Signaling","PMID: 28356350"
"melanocytic","melanocytic","mdkb","sdc4",0.0659306991697946,0,"MDK_SDC4_1","mdkb - sdc4","MK","Secreted Signaling","PMID: 28356350"
"inflammatory","melanocytic","mdkb","sdc4",0.0183726013117421,0,"MDK_SDC4_1","mdkb - sdc4","MK","Secreted Signaling","PMID: 28356350"
